"Cell_type"	"Gene"	"source"
"915"	"Monocytes"	"LITAF"	"Angelova_2015"
"916"	"Monocytes"	"NCOA4"	"Angelova_2015"
"917"	"Monocytes"	"OLR1"	"Angelova_2015"
"918"	"Monocytes"	"RAB1A"	"Angelova_2015"
"919"	"Monocytes"	"RHOA"	"Angelova_2015"
"920"	"Monocytes"	"SAT1"	"Angelova_2015"
"921"	"Monocytes"	"SDCBP"	"Angelova_2015"
"922"	"Monocytes"	"SRGN"	"Angelova_2015"
"923"	"Monocytes"	"TEK"	"Angelova_2015"
"924"	"Monocytes"	"TMBIM6"	"Angelova_2015"
"925"	"Monocytes"	"UBE2D3"	"Angelova_2015"
"926"	"NK"	"AKT3"	"Angelova_2015"
"927"	"NK"	"AXL"	"Angelova_2015"
"928"	"NK"	"CDH2"	"Angelova_2015"
"929"	"NK"	"CRTAM"	"Angelova_2015"
"930"	"NK"	"CYTH1"	"Angelova_2015"
"931"	"NK"	"FASLG"	"Angelova_2015"
"932"	"NK"	"GRB2"	"Angelova_2015"
"933"	"NK"	"KLRG1"	"Angelova_2015"
"934"	"NK"	"LILRB5"	"Angelova_2015"
"935"	"NK"	"LST1"	"Angelova_2015"
"936"	"NK"	"MAPK4"	"Angelova_2015"
"937"	"NK"	"NOTCH3"	"Angelova_2015"
"938"	"NK"	"PIK3CG"	"Angelova_2015"
"939"	"NK"	"PILRA"	"Angelova_2015"
"940"	"NK"	"PLCG2"	"Angelova_2015"
"941"	"NK"	"SIGLEC7"	"Angelova_2015"
"942"	"NK"	"SIGLEC9"	"Angelova_2015"
"943"	"NK56.bright"	"C11orf75"	"Angelova_2015"
"944"	"NK56.bright"	"DYNLL1"	"Angelova_2015"
"945"	"NK56.bright"	"HCP5"	"Angelova_2015"
"946"	"NK56.bright"	"HDGFRP2"	"Angelova_2015"
"947"	"NK56.bright"	"KRT86"	"Angelova_2015"
"948"	"NK56.bright"	"MLST8"	"Angelova_2015"
"949"	"NK56.bright"	"MYL6B"	"Angelova_2015"
"950"	"NK56.bright"	"TAX1BP3"	"Angelova_2015"
"951"	"NK56.dim"	"AKR7A3"	"Angelova_2015"
"952"	"NK56.dim"	"CLTB"	"Angelova_2015"
"953"	"NK56.dim"	"FAM27A"	"Angelova_2015"
"954"	"NK56.dim"	"GLS2"	"Angelova_2015"
"955"	"NK56.dim"	"GPRC5C"	"Angelova_2015"
"956"	"NK56.dim"	"GRIN1"	"Angelova_2015"
"957"	"NK56.dim"	"HLA-E"	"Angelova_2015"
"958"	"NK56.dim"	"KIR2DS4"	"Angelova_2015"
"959"	"NK56.dim"	"KLHL21"	"Angelova_2015"
"960"	"NK56.dim"	"KRT80"	"Angelova_2015"
"961"	"NK56.dim"	"MPL"	"Angelova_2015"
"962"	"NK56.dim"	"PHRF1"	"Angelova_2015"
"963"	"NK56.dim"	"PORCN"	"Angelova_2015"
"964"	"NK56.dim"	"PQBP1"	"Angelova_2015"
"965"	"NK56.dim"	"PSMC4"	"Angelova_2015"
"966"	"NK56.dim"	"TEX264"	"Angelova_2015"
"967"	"NK56.dim"	"UPP1"	"Angelova_2015"
"968"	"NKT"	"BTN2A2"	"Angelova_2015"
"969"	"NKT"	"CD101"	"Angelova_2015"
"970"	"NKT"	"GNLY"	"Angelova_2015"
"971"	"NKT"	"KIR2DL1"	"Angelova_2015"
"972"	"NKT"	"KIR2DL3"	"Angelova_2015"
"973"	"NKT"	"KIR3DL1"	"Angelova_2015"
"974"	"NKT"	"KIR3DL2"	"Angelova_2015"
"975"	"NKT"	"KLRC1"	"Angelova_2015"
"976"	"NKT"	"MICB"	"Angelova_2015"
"977"	"NKT"	"NCR1"	"Angelova_2015"
"978"	"NKT"	"NFATC2IP"	"Angelova_2015"
"979"	"NKT"	"TNFRSF11A"	"Angelova_2015"
"980"	"Neutrophils"	"ABTB1"	"Angelova_2015"
"981"	"Neutrophils"	"AMPD2"	"Angelova_2015"
"982"	"Neutrophils"	"CAMP"	"Angelova_2015"
"983"	"Neutrophils"	"EMR4P"	"Angelova_2015"
"984"	"Neutrophils"	"FPR1"	"Angelova_2015"
"985"	"Neutrophils"	"FPR2"	"Angelova_2015"
"986"	"Neutrophils"	"GPR77"	"Angelova_2015"
"987"	"Neutrophils"	"MAEA"	"Angelova_2015"
"988"	"Neutrophils"	"PROK2"	"Angelova_2015"
"989"	"Neutrophils"	"SEC14L1"	"Angelova_2015"
"990"	"Neutrophils"	"SEPX1"	"Angelova_2015"
"991"	"Neutrophils"	"SLC25A37"	"Angelova_2015"
"992"	"Neutrophils"	"TNFSF14"	"Angelova_2015"
"993"	"Neutrophils"	"TREML4"	"Angelova_2015"
"994"	"Neutrophils"	"VNN2"	"Angelova_2015"
"995"	"Neutrophils"	"XPO6"	"Angelova_2015"
"996"	"T.cells"	"BATF"	"Angelova_2015"
"997"	"T.cells"	"BTLA"	"Angelova_2015"
"998"	"T.cells"	"CCL11"	"Angelova_2015"
"999"	"T.cells"	"CCL17"	"Angelova_2015"
"1000"	"T.cells"	"CCL22"	"Angelova_2015"
"1001"	"T.cells"	"CCL3"	"Angelova_2015"
"1002"	"T.cells"	"CCL5"	"Angelova_2015"
"1003"	"T.cells"	"CCL7"	"Angelova_2015"
"1004"	"T.cells"	"CCR1"	"Angelova_2015"
"1005"	"T.cells"	"CCR3"	"Angelova_2015"
"1006"	"T.cells"	"CCR4"	"Angelova_2015"
"1007"	"T.cells"	"CCR8"	"Angelova_2015"
"1008"	"T.cells"	"CD1A"	"Angelova_2015"
"1009"	"T.cells"	"CD1B"	"Angelova_2015"
"1010"	"T.cells"	"CD1C"	"Angelova_2015"
"1011"	"T.cells"	"CD1D"	"Angelova_2015"
"1012"	"T.cells"	"CD1E"	"Angelova_2015"
"1013"	"T.cells"	"CD247"	"Angelova_2015"
"1014"	"T.cells"	"CD28"	"Angelova_2015"
"1015"	"T.cells"	"CD3D"	"Angelova_2015"
"1016"	"T.cells"	"CD3E"	"Angelova_2015"
"1017"	"T.cells"	"CD3G"	"Angelova_2015"
"1018"	"T.cells"	"CD69"	"Angelova_2015"
"1019"	"T.cells"	"CD8A"	"Angelova_2015"
"1020"	"T.cells"	"CXCR1"	"Angelova_2015"
"1021"	"T.cells"	"CXCR4"	"Angelova_2015"
"1022"	"T.cells"	"CXCR5"	"Angelova_2015"
"1023"	"T.cells"	"CXCR6"	"Angelova_2015"
"1024"	"T.cells"	"FGFBP2"	"Angelova_2015"
"1025"	"T.cells"	"FLT3"	"Angelova_2015"
"1026"	"T.cells"	"FOSL1"	"Angelova_2015"
"1027"	"T.cells"	"GRAP2"	"Angelova_2015"
"1028"	"T.cells"	"HLA-DRA"	"Angelova_2015"
"1029"	"T.cells"	"HLA-DRB1"	"Angelova_2015"
"1030"	"T.cells"	"HLA-DRB5"	"Angelova_2015"
"1031"	"T.cells"	"HRH2"	"Angelova_2015"
"1032"	"T.cells"	"IFNG"	"Angelova_2015"
"1033"	"T.cells"	"IL10"	"Angelova_2015"
"1034"	"T.cells"	"IL12B"	"Angelova_2015"
"1035"	"T.cells"	"IL12RB1"	"Angelova_2015"
"1036"	"T.cells"	"IL12RB2"	"Angelova_2015"
"1037"	"T.cells"	"IL18R1"	"Angelova_2015"
"1038"	"T.cells"	"IL18RAP"	"Angelova_2015"
"1039"	"T.cells"	"IL1B"	"Angelova_2015"
"1040"	"T.cells"	"IL21"	"Angelova_2015"
"1041"	"T.cells"	"IL21R"	"Angelova_2015"
"1042"	"T.cells"	"IL24"	"Angelova_2015"
"1043"	"T.cells"	"IL26"	"Angelova_2015"
"1044"	"T.cells"	"IL27"	"Angelova_2015"
"1045"	"T.cells"	"IL2RA"	"Angelova_2015"
"1046"	"T.cells"	"IL6"	"Angelova_2015"
"1047"	"T.cells"	"IL7"	"Angelova_2015"
"1048"	"T.cells"	"IRF4"	"Angelova_2015"
"1049"	"T.cells"	"IRF8"	"Angelova_2015"
"1050"	"T.cells"	"ITGAL"	"Angelova_2015"
"1051"	"T.cells"	"ITK"	"Angelova_2015"
"1052"	"T.cells"	"JAK2"	"Angelova_2015"
"1053"	"T.cells"	"JAK3"	"Angelova_2015"
"1054"	"T.cells"	"LAIR1"	"Angelova_2015"
"1055"	"T.cells"	"LAT"	"Angelova_2015"
"1056"	"T.cells"	"LAX1"	"Angelova_2015"
"1057"	"T.cells"	"LCK"	"Angelova_2015"
"1058"	"T.cells"	"LCP2"	"Angelova_2015"
"1059"	"T.cells"	"LILRA3"	"Angelova_2015"
"1060"	"T.cells"	"LILRA4"	"Angelova_2015"
"1061"	"T.cells"	"LILRB1"	"Angelova_2015"
"1062"	"T.cells"	"LILRB2"	"Angelova_2015"
"1063"	"T.cells"	"LILRB3"	"Angelova_2015"
"1064"	"T.cells"	"LILRB4"	"Angelova_2015"
"1065"	"T.cells"	"MS4A4A"	"Angelova_2015"
"1066"	"T.cells"	"NAPSB"	"Angelova_2015"
"1067"	"T.cells"	"NFATC1"	"Angelova_2015"
"1068"	"T.cells"	"NFKB2"	"Angelova_2015"
"1069"	"T.cells"	"P2RY14"	"Angelova_2015"
"1070"	"T.cells"	"PIK3CD"	"Angelova_2015"
"1071"	"T.cells"	"POU2F2"	"Angelova_2015"
"1072"	"T.cells"	"PRF1"	"Angelova_2015"
"1073"	"T.cells"	"RUNX3"	"Angelova_2015"
"1074"	"T.cells"	"SPI1"	"Angelova_2015"
"1075"	"T.cells"	"STAT1"	"Angelova_2015"
"1076"	"T.cells"	"STAT4"	"Angelova_2015"
"1077"	"T.cells"	"TNF"	"Angelova_2015"
"1078"	"T.cells"	"TPRG1"	"Angelova_2015"
"1079"	"T.cells"	"TSLP"	"Angelova_2015"
"1080"	"T.cells"	"UBASH3B"	"Angelova_2015"
"1081"	"T.cells"	"ZAP70"	"Angelova_2015"
"1082"	"TFH"	"B3GAT1"	"Angelova_2015"
"1083"	"TFH"	"BCL6"	"Angelova_2015"
"1084"	"TFH"	"CCR7"	"Angelova_2015"
"1085"	"TFH"	"CD200"	"Angelova_2015"
"1086"	"TFH"	"CD83"	"Angelova_2015"
"1087"	"TFH"	"CD84"	"Angelova_2015"
"1088"	"TFH"	"CDK5R1"	"Angelova_2015"
"1089"	"TFH"	"FGF2"	"Angelova_2015"
"1090"	"TFH"	"GPR18"	"Angelova_2015"
"1091"	"TFH"	"PDCD1"	"Angelova_2015"
"1092"	"TGD"	"ACP5"	"Angelova_2015"
"1093"	"TGD"	"C1orf54"	"Angelova_2015"
"1094"	"TGD"	"CARD8"	"Angelova_2015"
"1095"	"TGD"	"CCL18"	"Angelova_2015"
"1096"	"TGD"	"CD209"	"Angelova_2015"
"1097"	"TGD"	"CD33"	"Angelova_2015"
"1098"	"TGD"	"CECR1"	"Angelova_2015"
"1099"	"TGD"	"CLEC10A"	"Angelova_2015"
"1100"	"TGD"	"CLEC4A"	"Angelova_2015"
"1101"	"TGD"	"CSF1R"	"Angelova_2015"
"1102"	"TGD"	"FCER1G"	"Angelova_2015"
"1103"	"TGD"	"FCGR2A"	"Angelova_2015"
"1104"	"TGD"	"FCGR2B"	"Angelova_2015"
"1105"	"TGD"	"FCGR3B"	"Angelova_2015"
"1106"	"TGD"	"FGF7"	"Angelova_2015"
"1107"	"TGD"	"FGL2"	"Angelova_2015"
"1108"	"TGD"	"FPR3"	"Angelova_2015"
"1109"	"TGD"	"GM2A"	"Angelova_2015"
"1110"	"TGD"	"GPNMB"	"Angelova_2015"
"1111"	"TGD"	"HCK"	"Angelova_2015"
"1112"	"TGD"	"HK3"	"Angelova_2015"
"1113"	"TGD"	"LIPA"	"Angelova_2015"
"1114"	"TGD"	"MARCO"	"Angelova_2015"
"1115"	"TGD"	"MMP12"	"Angelova_2015"
"1116"	"TGD"	"MNDA"	"Angelova_2015"
"1117"	"TGD"	"MRC1"	"Angelova_2015"
"1118"	"TGD"	"MS4A6A"	"Angelova_2015"
"1119"	"TGD"	"NPL"	"Angelova_2015"
"1120"	"TGD"	"PLA2G7"	"Angelova_2015"
"1121"	"TGD"	"PLEK"	"Angelova_2015"
"1122"	"TGD"	"RAB23"	"Angelova_2015"
"1123"	"TGD"	"RNASE6"	"Angelova_2015"
"1124"	"TGD"	"SDC2"	"Angelova_2015"
"1125"	"TGD"	"SLAMF8"	"Angelova_2015"
"1126"	"TGD"	"SLC15A3"	"Angelova_2015"
"1127"	"TGD"	"SLC38A6"	"Angelova_2015"
"1128"	"TGD"	"SLC7A7"	"Angelova_2015"
"1129"	"TGD"	"SPP1"	"Angelova_2015"
"1130"	"TGD"	"TFEC"	"Angelova_2015"
"1131"	"TGD"	"TM6SF1"	"Angelova_2015"
"1132"	"TGD"	"TNFSF8"	"Angelova_2015"
"1133"	"TGD"	"TREM2"	"Angelova_2015"
"1134"	"TGD"	"TRPV2"	"Angelova_2015"
"1135"	"Th1"	"ADAM8"	"Angelova_2015"
"1136"	"Th1"	"CCR5"	"Angelova_2015"
"1137"	"Th1"	"CD151"	"Angelova_2015"
"1138"	"Th1"	"CD48"	"Angelova_2015"
"1139"	"Th1"	"CD52"	"Angelova_2015"
"1140"	"Th1"	"CD53"	"Angelova_2015"
"1141"	"Th1"	"CD6"	"Angelova_2015"
"1142"	"Th1"	"CD68"	"Angelova_2015"
"1143"	"Th1"	"CD7"	"Angelova_2015"
"1144"	"Th1"	"CD96"	"Angelova_2015"
"1145"	"Th1"	"CD97"	"Angelova_2015"
"1146"	"Th1"	"EBI3"	"Angelova_2015"
"1147"	"Th1"	"GPR84"	"Angelova_2015"
"1148"	"Th1"	"HAVCR2"	"Angelova_2015"
"1149"	"Th1"	"ICAM1"	"Angelova_2015"
"1150"	"Th1"	"ICAM3"	"Angelova_2015"
"1151"	"Th1"	"IGSF6"	"Angelova_2015"
"1152"	"Th1"	"IL12A"	"Angelova_2015"
"1153"	"Th1"	"IL7R"	"Angelova_2015"
"1154"	"Th1"	"IRF1"	"Angelova_2015"
"1155"	"Th1"	"ITGA4"	"Angelova_2015"
"1156"	"Th1"	"ITGAM"	"Angelova_2015"
"1157"	"Th1"	"ITGAX"	"Angelova_2015"
"1158"	"Th1"	"ITGB2"	"Angelova_2015"
"1159"	"Th1"	"ITGB4"	"Angelova_2015"
"1160"	"Th1"	"ITGB7"	"Angelova_2015"
"1161"	"Th1"	"LTA"	"Angelova_2015"
"1162"	"Th1"	"LTB"	"Angelova_2015"
"1163"	"Th1"	"METRNL"	"Angelova_2015"
"1164"	"Th1"	"P2RX5"	"Angelova_2015"
"1165"	"Th1"	"PTPRC"	"Angelova_2015"
"1166"	"Th1"	"SPN"	"Angelova_2015"
"1167"	"Th1"	"TBX21"	"Angelova_2015"
"1168"	"Th1"	"TLR6"	"Angelova_2015"
"1169"	"Th1"	"TNFRSF1A"	"Angelova_2015"
"1170"	"Th1"	"TNFRSF9"	"Angelova_2015"
"1171"	"Th1"	"TRAT1"	"Angelova_2015"
"1172"	"Th17"	"ABP1"	"Angelova_2015"
"1173"	"Th17"	"B4GALNT4"	"Angelova_2015"
"1174"	"Th17"	"C2CD4A"	"Angelova_2015"
"1175"	"Th17"	"C2CD4B"	"Angelova_2015"
"1176"	"Th17"	"CA2"	"Angelova_2015"
"1177"	"Th17"	"CCDC65"	"Angelova_2015"
"1178"	"Th17"	"CEACAM3"	"Angelova_2015"
"1179"	"Th17"	"CHRM3"	"Angelova_2015"
"1180"	"Th17"	"DOC2B"	"Angelova_2015"
"1181"	"Th17"	"F12"	"Angelova_2015"
"1182"	"Th17"	"FURIN"	"Angelova_2015"
"1183"	"Th17"	"GPR25"	"Angelova_2015"
"1184"	"Th17"	"IL17A"	"Angelova_2015"
"1185"	"Th17"	"IL17C"	"Angelova_2015"
"1186"	"Th17"	"IL17F"	"Angelova_2015"
"1187"	"Th17"	"IL17RC"	"Angelova_2015"
"1188"	"Th17"	"IL17RE"	"Angelova_2015"
"1189"	"Th17"	"IL23A"	"Angelova_2015"
"1190"	"Th17"	"ILDR1"	"Angelova_2015"
"1191"	"Th17"	"LONRF3"	"Angelova_2015"
"1192"	"Th17"	"LTK"	"Angelova_2015"
"1193"	"Th17"	"MOCOS"	"Angelova_2015"
"1194"	"Th17"	"SH2D6"	"Angelova_2015"
"1195"	"Th17"	"TNIP2"	"Angelova_2015"
"1196"	"Th17"	"TRAF3IP2"	"Angelova_2015"
"1197"	"Th17"	"YBX2"	"Angelova_2015"
"1198"	"Th2"	"ASB2"	"Angelova_2015"
"1199"	"Th2"	"CALD1"	"Angelova_2015"
"1200"	"Th2"	"CCR2"	"Angelova_2015"
"1201"	"Th2"	"CSRP2"	"Angelova_2015"
"1202"	"Th2"	"DAPK1"	"Angelova_2015"
"1203"	"Th2"	"DLC1"	"Angelova_2015"
"1204"	"Th2"	"DNAJC12"	"Angelova_2015"
"1205"	"Th2"	"DUSP6"	"Angelova_2015"
"1206"	"Th2"	"GATA3"	"Angelova_2015"
"1207"	"Th2"	"GNAI1"	"Angelova_2015"
"1208"	"Th2"	"HTR2B"	"Angelova_2015"
"1209"	"Th2"	"LAMP3"	"Angelova_2015"
"1210"	"Th2"	"NRP2"	"Angelova_2015"
"1211"	"Th2"	"OSBPL1A"	"Angelova_2015"
"1212"	"Th2"	"PDE4B"	"Angelova_2015"
"1213"	"Th2"	"PHLDA1"	"Angelova_2015"
"1214"	"Th2"	"PLA2G4A"	"Angelova_2015"
"1215"	"Th2"	"RAB27B"	"Angelova_2015"
"1216"	"Th2"	"RBMS3"	"Angelova_2015"
"1217"	"Th2"	"RNF125"	"Angelova_2015"
"1218"	"Th2"	"SIGLEC10"	"Angelova_2015"
"1219"	"Th2"	"SKAP1"	"Angelova_2015"
"1220"	"Th2"	"SMAD2"	"Angelova_2015"
"1221"	"Th2"	"TMPRSS3"	"Angelova_2015"
"1222"	"Th2"	"UBASH3A"	"Angelova_2015"
"1223"	"Treg"	"CCL19"	"Angelova_2015"
"1224"	"Treg"	"CD34"	"Angelova_2015"
"1225"	"Treg"	"CD72"	"Angelova_2015"
"1226"	"Treg"	"CTLA4"	"Angelova_2015"
"1227"	"Treg"	"FOXP3"	"Angelova_2015"
"1228"	"Treg"	"GADD45B"	"Angelova_2015"
"1229"	"Treg"	"GEM"	"Angelova_2015"
"1230"	"Treg"	"IL1RL1"	"Angelova_2015"
"1231"	"Treg"	"IL9R"	"Angelova_2015"
"1232"	"Treg"	"MADCAM1"	"Angelova_2015"
"1233"	"Treg"	"MYH10"	"Angelova_2015"
"1234"	"Treg"	"NCF2"	"Angelova_2015"
"1235"	"Treg"	"RCSD1"	"Angelova_2015"
"1236"	"Treg"	"RYR1"	"Angelova_2015"
"1237"	"Treg"	"SELE"	"Angelova_2015"
"1238"	"Treg"	"SELP"	"Angelova_2015"
"1239"	"Treg"	"SFRP1"	"Angelova_2015"
"1240"	"Treg"	"SIT1"	"Angelova_2015"
"1241"	"Treg"	"TIGIT"	"Angelova_2015"
"1242"	"Treg"	"TLR10"	"Angelova_2015"
"1243"	"Treg"	"TLR2"	"Angelova_2015"
"1244"	"Treg"	"TLR7"	"Angelova_2015"
"1245"	"Treg"	"TLR8"	"Angelova_2015"
"1246"	"Treg"	"TRAF1"	"Angelova_2015"
"1247"	"Treg"	"WIPF1"	"Angelova_2015"
"1248"	"Treg"	"TGFB1"	"Angelova_2015"
"1249"	"iDC"	"ATP6V1A"	"Angelova_2015"
"1250"	"iDC"	"C1QB"	"Angelova_2015"
"1251"	"iDC"	"CHST11"	"Angelova_2015"
"1252"	"iDC"	"CSF1"	"Angelova_2015"
"1253"	"iDC"	"DPYD"	"Angelova_2015"
"1254"	"iDC"	"FNDC3B"	"Angelova_2015"
"1255"	"iDC"	"GRP"	"Angelova_2015"
"1256"	"iDC"	"IL1RN"	"Angelova_2015"
"1257"	"iDC"	"INPP5F"	"Angelova_2015"
"1258"	"iDC"	"LPL"	"Angelova_2015"
"1259"	"iDC"	"LPXN"	"Angelova_2015"
"1260"	"iDC"	"MMD"	"Angelova_2015"
"1261"	"iDC"	"PLAU"	"Angelova_2015"
"1262"	"iDC"	"PLCB2"	"Angelova_2015"
"1263"	"iDC"	"RAB38"	"Angelova_2015"
"1264"	"iDC"	"RDX"	"Angelova_2015"
"1265"	"iDC"	"RRAGD"	"Angelova_2015"
"1266"	"iDC"	"TACSTD2"	"Angelova_2015"
"1267"	"iDC"	"TGM2"	"Angelova_2015"
"1268"	"iDC"	"TIMD4"	"Angelova_2015"
"1269"	"iDC"	"TM7SF4"	"Angelova_2015"
"1270"	"mDC"	"ATP5O"	"Angelova_2015"
"1271"	"mDC"	"CBX1"	"Angelova_2015"
"1272"	"mDC"	"DNAJC15"	"Angelova_2015"
"1273"	"mDC"	"ENSA"	"Angelova_2015"
"1274"	"mDC"	"FOXN3"	"Angelova_2015"
"1275"	"mDC"	"PRCP"	"Angelova_2015"
"1276"	"mDC"	"SSB"	"Angelova_2015"
"1277"	"mDC"	"TPMT"	"Angelova_2015"
"1278"	"pDC"	"CBX6"	"Angelova_2015"
"1279"	"pDC"	"DAB2"	"Angelova_2015"
"1280"	"pDC"	"DDX17"	"Angelova_2015"
"1281"	"pDC"	"HIGD1A"	"Angelova_2015"
"1282"	"pDC"	"IDH3A"	"Angelova_2015"
"1283"	"pDC"	"IL3RA"	"Angelova_2015"
"1284"	"pDC"	"MAGED1"	"Angelova_2015"
"1285"	"pDC"	"NUCB2"	"Angelova_2015"
"1286"	"pDC"	"OFD1"	"Angelova_2015"
"1287"	"pDC"	"OGT"	"Angelova_2015"
"1288"	"pDC"	"PDIA4"	"Angelova_2015"
"1289"	"pDC"	"SERTAD2"	"Angelova_2015"
"1290"	"pDC"	"SIRPA"	"Angelova_2015"
"1291"	"pDC"	"SPCS3"	"Angelova_2015"
"1292"	"pDC"	"TMED2"	"Angelova_2015"
"1293"	"pDC"	"TMX1"	"Angelova_2015"
"1294"	"pDC"	"UGCG"	"Angelova_2015"
"1295"	"pDC"	"ZDHHC17"	"Angelova_2015"
"1296"	"B-cells"	"ABCB4"	"Bindea_2013"
"1297"	"B-cells"	"BACH2"	"Bindea_2013"
"1298"	"B-cells"	"BCL11A"	"Bindea_2013"
"1299"	"B-cells"	"BLK"	"Bindea_2013"
"1300"	"B-cells"	"BLNK"	"Bindea_2013"
"1301"	"B-cells"	"CCR9"	"Bindea_2013"
"1302"	"B-cells"	"CD19"	"Bindea_2013"
"1303"	"B-cells"	"CD72"	"Bindea_2013"
"1304"	"B-cells"	"COCH"	"Bindea_2013"
"1305"	"B-cells"	"CR2"	"Bindea_2013"
"1306"	"B-cells"	"DTNB"	"Bindea_2013"
"1307"	"B-cells"	"FCRL2"	"Bindea_2013"
"1308"	"B-cells"	"GLDC"	"Bindea_2013"
"1309"	"B-cells"	"GNG7"	"Bindea_2013"
"1310"	"B-cells"	"HLA-DOB"	"Bindea_2013"
"1311"	"B-cells"	"HLA-DQA1"	"Bindea_2013"
"1312"	"B-cells"	"IGHA1"	"Bindea_2013"
"1313"	"B-cells"	"IGHG1"	"Bindea_2013"
"1314"	"B-cells"	"IGHM"	"Bindea_2013"
"1315"	"B-cells"	"IGKC"	"Bindea_2013"
"1316"	"B-cells"	"IGL"	"Bindea_2013"
"1317"	"B-cells"	"KIAA0125"	"Bindea_2013"
"1318"	"B-cells"	"MEF2C"	"Bindea_2013"
"1319"	"B-cells"	"MICAL3"	"Bindea_2013"
"1320"	"B-cells"	"MS4A1"	"Bindea_2013"
"1321"	"B-cells"	"OSBPL10"	"Bindea_2013"
"1322"	"B-cells"	"PNOC"	"Bindea_2013"
"1323"	"B-cells"	"QRSL1"	"Bindea_2013"
"1324"	"B-cells"	"SCN3A"	"Bindea_2013"
"1325"	"B-cells"	"SLC15A2"	"Bindea_2013"
"1326"	"B-cells"	"SPIB"	"Bindea_2013"
"1327"	"B-cells"	"TCL1A"	"Bindea_2013"
"1328"	"B-cells"	"TNFRSF17"	"Bindea_2013"
"1329"	"CD4+ Tcm"	"AQP3"	"Bindea_2013"
"1330"	"CD4+ Tcm"	"ATF7IP"	"Bindea_2013"
"1331"	"CD4+ Tcm"	"ATM"	"Bindea_2013"
"1332"	"CD4+ Tcm"	"CASP8"	"Bindea_2013"
"1333"	"CD4+ Tcm"	"CDC14A"	"Bindea_2013"
"1334"	"CD4+ Tcm"	"CEP68"	"Bindea_2013"
"1335"	"CD4+ Tcm"	"CLUAP1"	"Bindea_2013"
"1336"	"CD4+ Tcm"	"CREBZF"	"Bindea_2013"
"1337"	"CD4+ Tcm"	"CYLD"	"Bindea_2013"
"1338"	"CD4+ Tcm"	"DOCK9"	"Bindea_2013"
"1339"	"CD4+ Tcm"	"FAM153B"	"Bindea_2013"
"1340"	"CD4+ Tcm"	"FOXP1"	"Bindea_2013"
"1341"	"CD4+ Tcm"	"FYB"	"Bindea_2013"
"1342"	"CD4+ Tcm"	"HNRPH1"	"Bindea_2013"
"1343"	"CD4+ Tcm"	"INPP4B"	"Bindea_2013"
"1344"	"CD4+ Tcm"	"KLF12"	"Bindea_2013"
"1345"	"CD4+ Tcm"	"LOC441155"	"Bindea_2013"
"1346"	"CD4+ Tcm"	"MAP3K1"	"Bindea_2013"
"1347"	"CD4+ Tcm"	"MLL"	"Bindea_2013"
"1348"	"CD4+ Tcm"	"N4BP2L2-IT2"	"Bindea_2013"
"1349"	"CD4+ Tcm"	"NEFL"	"Bindea_2013"
"1350"	"CD4+ Tcm"	"NFATC3"	"Bindea_2013"
"1351"	"CD4+ Tcm"	"PCM1"	"Bindea_2013"
"1352"	"CD4+ Tcm"	"PCNX"	"Bindea_2013"
"1353"	"CD4+ Tcm"	"PDXDC2"	"Bindea_2013"
"1354"	"CD4+ Tcm"	"PHC3"	"Bindea_2013"
"1355"	"CD4+ Tcm"	"POLR2J2"	"Bindea_2013"
"1356"	"CD4+ Tcm"	"PSPC1"	"Bindea_2013"
"1357"	"CD4+ Tcm"	"REPS1"	"Bindea_2013"
"1358"	"CD4+ Tcm"	"RPP38"	"Bindea_2013"
"1359"	"CD4+ Tcm"	"SLC7A6"	"Bindea_2013"
"1360"	"CD4+ Tcm"	"SNRPN"	"Bindea_2013"
"1361"	"CD4+ Tcm"	"ST3GAL1"	"Bindea_2013"
"1362"	"CD4+ Tcm"	"STX16"	"Bindea_2013"
"1363"	"CD4+ Tcm"	"TIMM8A"	"Bindea_2013"
"1364"	"CD4+ Tcm"	"TRAF3IP3"	"Bindea_2013"
"1365"	"CD4+ Tcm"	"TXK"	"Bindea_2013"
"1366"	"CD4+ Tcm"	"TXLNGY"	"Bindea_2013"
"1367"	"CD4+ Tcm"	"USP9Y"	"Bindea_2013"
"1368"	"CD4+ Tem"	"AKT3"	"Bindea_2013"
"1369"	"CD4+ Tem"	"C7orf54"	"Bindea_2013"
"1370"	"CD4+ Tem"	"CCR2"	"Bindea_2013"
"1371"	"CD4+ Tem"	"DDX17"	"Bindea_2013"
"1372"	"CD4+ Tem"	"EWSR1"	"Bindea_2013"
"1373"	"CD4+ Tem"	"FLI1"	"Bindea_2013"
"1374"	"CD4+ Tem"	"GDPD5"	"Bindea_2013"
"1375"	"CD4+ Tem"	"LTK"	"Bindea_2013"
"1376"	"CD4+ Tem"	"MEFV"	"Bindea_2013"
"1377"	"CD4+ Tem"	"NFATC4"	"Bindea_2013"
"1378"	"CD4+ Tem"	"PRKY"	"Bindea_2013"
"1379"	"CD4+ Tem"	"TBC1D5"	"Bindea_2013"
"1380"	"CD4+ Tem"	"TBCD"	"Bindea_2013"
"1381"	"CD4+ Tem"	"TRA"	"Bindea_2013"
"1382"	"CD4+ Tem"	"VIL2"	"Bindea_2013"
"1383"	"CD8+ T-cells"	"ABT1"	"Bindea_2013"
"1384"	"CD8+ T-cells"	"AES"	"Bindea_2013"
"1385"	"CD8+ T-cells"	"APBA2"	"Bindea_2013"
